Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Temperature,Wind Speed,timestamp
2024,1,1,0,30,0,0,0,0.4,1.0,1704069000
2024,1,1,1,30,0,0,0,0.0,1.0,1704072600
2024,1,1,2,30,0,0,0,-0.5,0.9,1704076200
2024,1,1,3,30,0,0,0,-1.2000000000000002,1.0,1704079800
2024,1,1,4,30,0,0,0,-1.9,1.0,1704083400
2024,1,1,5,30,0,0,0,-2.3000000000000003,1.1,1704087000
2024,1,1,6,30,0,0,0,-2.3000000000000003,1.1,1704090600
2024,1,1,7,30,0,0,0,-2.2,1.1,1704094200
2024,1,1,8,30,0,0,0,-2.2,1.2000000000000002,1704097800
2024,1,1,9,30,0,0,0,-2.3000000000000003,1.2000000000000002,1704101400
2024,1,1,10,30,0,0,0,-2.3000000000000003,1.1,1704105000
2024,1,1,11,30,0,0,0,-2.4000000000000004,1.1,1704108600
2024,1,1,12,30,0,0,0,-2.5,1.1,1704112200
2024,1,1,13,30,0,0,0,-2.6,1.1,1704115800
2024,1,1,14,30,0,0,0,-2.7,1.1,1704119400
2024,1,1,15,30,16,14,40,-2.4000000000000004,1.0,1704123000
2024,1,1,16,30,166,39,696,-1.1,1.0,1704126600
2024,1,1,17,30,270,107,554,0.9,1.0,1704130200
2024,1,1,18,30,377,80,808,2.9000000000000004,0.8,1704133800
2024,1,1,19,30,422,61,907,4.3,1.0,1704137400
2024,1,1,20,30,405,52,919,4.6000000000000005,1.3,1704141000
2024,1,1,21,30,332,50,868,4.0,1.0,1704144600
2024,1,1,22,30,183,80,456,2.5,0.7000000000000001,1704148200
2024,1,1,23,30,69,38,335,1.1,0.6000000000000001,1704151800
2024,1,2,0,30,0,0,0,0.4,0.5,1704155400
2024,1,2,1,30,0,0,0,-0.4,0.6000000000000001,1704159000
2024,1,2,2,30,0,0,0,-1.4,0.9,1704162600
2024,1,2,3,30,0,0,0,-2.2,1.0,1704166200
2024,1,2,4,30,0,0,0,-2.8000000000000003,1.1,1704169800
2024,1,2,5,30,0,0,0,-3.1,1.1,1704173400
2024,1,2,6,30,0,0,0,-3.0,1.0,1704177000
2024,1,2,7,30,0,0,0,-2.8000000000000003,0.9,1704180600
2024,1,2,8,30,0,0,0,-2.9000000000000004,0.8,1704184200
2024,1,2,9,30,0,0,0,-3.1,0.9,1704187800
2024,1,2,10,30,0,0,0,-3.5,1.0,1704191400
2024,1,2,11,30,0,0,0,-3.7,1.0,1704195000
2024,1,2,12,30,0,0,0,-3.8,1.0,1704198600
2024,1,2,13,30,0,0,0,-3.8,1.0,1704202200
2024,1,2,14,30,0,0,0,-3.8,0.9,1704205800
2024,1,2,15,30,29,17,295,-3.3000000000000003,0.8,1704209400
2024,1,2,16,30,168,37,722,-1.5,1.0,1704213000
2024,1,2,17,30,297,45,856,0.8,1.4,1704216600
2024,1,2,18,30,388,51,914,2.4000000000000004,1.6,1704220200
2024,1,2,19,30,426,52,936,3.2,1.7000000000000002,1704223800
2024,1,2,20,30,409,51,928,3.4000000000000004,1.7000000000000002,1704227400
2024,1,2,21,30,337,47,889,3.0,1.6,1704231000
2024,1,2,22,30,220,40,792,1.5,1.0,1704234600
2024,1,2,23,30,79,26,549,-0.7000000000000001,0.8,1704238200
2024,1,3,0,30,0,0,0,-2.3000000000000003,0.9,1704241800
2024,1,3,1,30,0,0,0,-3.3000000000000003,1.1,1704245400
2024,1,3,2,30,0,0,0,-4.0,1.2000000000000002,1704249000
2024,1,3,3,30,0,0,0,-4.4,1.4,1704252600
2024,1,3,4,30,0,0,0,-4.6000000000000005,1.5,1704256200
2024,1,3,5,30,0,0,0,-4.4,1.6,1704259800
2024,1,3,6,30,0,0,0,-4.0,1.7000000000000002,1704263400
2024,1,3,7,30,0,0,0,-3.7,1.7000000000000002,1704267000
2024,1,3,8,30,0,0,0,-3.9,1.6,1704270600
2024,1,3,9,30,0,0,0,-4.5,1.5,1704274200
2024,1,3,10,30,0,0,0,-5.0,1.5,1704277800
2024,1,3,11,30,0,0,0,-5.4,1.5,1704281400
2024,1,3,12,30,0,0,0,-5.4,1.5,1704285000
2024,1,3,13,30,0,0,0,-5.4,1.5,1704288600
2024,1,3,14,30,0,0,0,-5.4,1.5,1704292200
2024,1,3,15,30,24,20,91,-4.0,1.5,1704295800
2024,1,3,16,30,160,63,533,-1.6,1.8,1704299400
2024,1,3,17,30,240,72,569,0.0,2.3000000000000003,1704303000
2024,1,3,18,30,321,152,456,0.9,2.5,1704306600
2024,1,3,19,30,227,129,244,1.3,2.3000000000000003,1704310200
2024,1,3,20,30,307,135,445,1.4,2.1,1704313800
2024,1,3,21,30,202,134,208,1.1,1.6,1704317400
2024,1,3,22,30,189,99,391,0.3,1.1,1704321000
2024,1,3,23,30,71,41,309,-0.6000000000000001,0.8,1704324600
2024,1,4,0,30,0,0,0,-0.9,0.7000000000000001,1704328200
2024,1,4,1,30,0,0,0,-1.0,0.6000000000000001,1704331800
2024,1,4,2,30,0,0,0,-1.1,0.6000000000000001,1704335400
2024,1,4,3,30,0,0,0,-1.4,0.7000000000000001,1704339000
2024,1,4,4,30,0,0,0,-1.6,0.7000000000000001,1704342600
2024,1,4,5,30,0,0,0,-1.9,0.8,1704346200
2024,1,4,6,30,0,0,0,-2.2,0.8,1704349800
2024,1,4,7,30,0,0,0,-2.6,0.8,1704353400
2024,1,4,8,30,0,0,0,-2.8000000000000003,0.9,1704357000
2024,1,4,9,30,0,0,0,-3.0,0.9,1704360600
2024,1,4,10,30,0,0,0,-3.1,0.9,1704364200
2024,1,4,11,30,0,0,0,-3.3000000000000003,1.0,1704367800
2024,1,4,12,30,0,0,0,-3.5,1.0,1704371400
2024,1,4,13,30,0,0,0,-3.5,1.1,1704375000
2024,1,4,14,30,0,0,0,-3.4000000000000004,1.1,1704378600
2024,1,4,15,30,28,17,257,-2.3000000000000003,1.4,1704382200
2024,1,4,16,30,163,45,647,-0.6000000000000001,2.1,1704385800
2024,1,4,17,30,296,45,849,1.2000000000000002,2.6,1704389400
2024,1,4,18,30,387,47,916,2.5,2.5,1704393000
2024,1,4,19,30,398,90,765,3.0,2.3000000000000003,1704396600
2024,1,4,20,30,401,60,876,3.0,2.2,1704400200
2024,1,4,21,30,341,41,906,2.6,2.0,1704403800
2024,1,4,22,30,224,34,816,1.2000000000000002,1.4,1704407400
2024,1,4,23,30,83,23,591,-1.1,1.1,1704411000
2024,1,5,0,30,0,0,0,-2.7,1.3,1704414600
2024,1,5,1,30,0,0,0,-3.7,1.4,1704418200
2024,1,5,2,30,0,0,0,-4.7,1.4,1704421800
2024,1,5,3,30,0,0,0,-5.4,1.4,1704425400
2024,1,5,4,30,0,0,0,-5.6000000000000005,1.4,1704429000
2024,1,5,5,30,0,0,0,-5.4,1.4,1704432600
2024,1,5,6,30,0,0,0,-5.300000000000001,1.4,1704436200
2024,1,5,7,30,0,0,0,-5.300000000000001,1.4,1704439800
2024,1,5,8,30,0,0,0,-5.2,1.3,1704443400
