Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,239597,-,-,-,43.61,-116.22,0,821,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Temperature,Wind Speed
2024,1,1,0,30,0,0,0,2.4000000000000004,0.9
2024,1,1,1,30,0,0,0,2.2,0.8
2024,1,1,2,30,0,0,0,2.3000000000000003,0.7000000000000001
2024,1,1,3,30,0,0,0,2.5,0.5
2024,1,1,4,30,0,0,0,2.7,0.5
2024,1,1,5,30,0,0,0,2.8000000000000003,0.6000000000000001
2024,1,1,6,30,0,0,0,2.6,0.7000000000000001
2024,1,1,7,30,0,0,0,2.4000000000000004,0.8
2024,1,1,8,30,0,0,0,2.2,0.8
2024,1,1,9,30,0,0,0,2.1,0.6000000000000001
2024,1,1,10,30,0,0,0,2,0.5
2024,1,1,11,30,0,0,0,2,0.4
2024,1,1,12,30,0,0,0,1.8,0.4
2024,1,1,13,30,0,0,0,1.6,0.4
2024,1,1,14,30,0,0,0,1.4000000000000001,0.4
2024,1,1,15,30,7,7,4,1.7000000000000002,0.5
2024,1,1,16,30,124,68,342,2.7,1
2024,1,1,17,30,209,128,288,4.1000000000000005,1.6
2024,1,1,18,30,308,139,472,5.4,1.7000000000000002
2024,1,1,19,30,362,124,602,6.300000000000001,1.5
2024,1,1,20,30,391,61,854,6.4,1.2000000000000002
2024,1,1,21,30,270,138,395,5.9,0.7000000000000001
2024,1,1,22,30,181,78,432,4.7,0.30000000000000004
2024,1,1,23,30,84,34,448,3.2,0.4
2024,1,2,0,30,0,0,0,2.2,0.6000000000000001
2024,1,2,1,30,0,0,0,1.6,0.7000000000000001
2024,1,2,2,30,0,0,0,1.2000000000000002,0.9
2024,1,2,3,30,0,0,0,0.5,1
2024,1,2,4,30,0,0,0,-0.2,1.2000000000000002
2024,1,2,5,30,0,0,0,-0.8,1.2000000000000002
2024,1,2,6,30,0,0,0,-1,1.4000000000000001
2024,1,2,7,30,0,0,0,-1.1,1.6
2024,1,2,8,30,0,0,0,-1.2000000000000002,1.8
2024,1,2,9,30,0,0,0,-1.3,1.7000000000000002
2024,1,2,10,30,0,0,0,-1.6,1.6
2024,1,2,11,30,0,0,0,-1.8,1.5
2024,1,2,12,30,0,0,0,-2.1,1.4000000000000001
2024,1,2,13,30,0,0,0,-2.2,1.4000000000000001
2024,1,2,14,30,0,0,0,-2.3000000000000003,1.5
2024,1,2,15,30,16,12,167,-0.8,1.9000000000000001
2024,1,2,16,30,102,34,412,1.7000000000000002,2.9000000000000004
2024,1,2,17,30,124,107,60,4,3.9000000000000004
2024,1,2,18,30,301,142,442,5.5,4.2
2024,1,2,19,30,391,89,761,6.5,4.1000000000000005
2024,1,2,20,30,372,102,696,6.7,3.6
2024,1,2,21,30,265,152,338,5.9,2.5
2024,1,2,22,30,163,123,165,3.9000000000000004,1.7000000000000002
2024,1,2,23,30,76,54,196,2,1.7000000000000002
2024,1,3,0,30,0,0,0,1.2000000000000002,1.9000000000000001
2024,1,3,1,30,0,0,0,1.2000000000000002,2.1
2024,1,3,2,30,0,0,0,1.3,2.3000000000000003
2024,1,3,3,30,0,0,0,1.4000000000000001,2.6
2024,1,3,4,30,0,0,0,1.4000000000000001,2.6
2024,1,3,5,30,0,0,0,1.1,2.5
2024,1,3,6,30,0,0,0,0.7000000000000001,2.4000000000000004
2024,1,3,7,30,0,0,0,0.30000000000000004,2.5
2024,1,3,8,30,0,0,0,0,2.4000000000000004
2024,1,3,9,30,0,0,0,0,2.1
2024,1,3,10,30,0,0,0,0.2,1.5
2024,1,3,11,30,0,0,0,0.30000000000000004,1
2024,1,3,12,30,0,0,0,0.1,0.7000000000000001
2024,1,3,13,30,0,0,0,0,0.6000000000000001
2024,1,3,14,30,0,0,0,0.30000000000000004,0.4
2024,1,3,15,30,14,12,85,0.9,0.5
2024,1,3,16,30,49,37,71,1.4000000000000001,1.2000000000000002
2024,1,3,17,30,136,129,26,2,2
2024,1,3,18,30,98,97,3,2.3000000000000003,2.6
2024,1,3,19,30,135,132,8,2.4000000000000004,3
2024,1,3,20,30,107,106,3,2.2,3.2
2024,1,3,21,30,117,114,8,1.8,3.1
