,ghi,dhi,dni,temp_air,wind_speed
2023-01-01 00:00:00+00:00,0.0,0.0,0.0,-4.65,1.05
2023-01-01 01:00:00+00:00,0.0,0.0,0.0,-5.65,1.15
2023-01-01 02:00:00+00:00,0.0,0.0,0.0,-6.5,1.15
2023-01-01 03:00:00+00:00,0.0,0.0,0.0,-7.15,1.2
2023-01-01 04:00:00+00:00,0.0,0.0,0.0,-7.800000000000001,1.25
2023-01-01 05:00:00+00:00,0.0,0.0,0.0,-8.200000000000001,1.3
2023-01-01 06:00:00+00:00,0.0,0.0,0.0,-8.25,1.35
2023-01-01 07:00:00+00:00,0.0,0.0,0.0,-8.25,1.35
2023-01-01 08:00:00+00:00,0.0,0.0,0.0,-8.3,1.4000000000000001
2023-01-01 09:00:00+00:00,0.0,0.0,0.0,-8.350000000000001,1.35
2023-01-01 10:00:00+00:00,0.0,0.0,0.0,-8.5,1.25
2023-01-01 11:00:00+00:00,0.0,0.0,0.0,-8.6,1.25
2023-01-01 12:00:00+00:00,0.0,0.0,0.0,-8.65,1.25
2023-01-01 13:00:00+00:00,0.0,0.0,0.0,-8.75,1.3
2023-01-01 14:00:00+00:00,0.0,0.0,0.0,-8.850000000000001,1.4500000000000002
2023-01-01 15:00:00+00:00,19.0,17.0,53.0,-8.4,1.75
2023-01-01 16:00:00+00:00,159.5,52.5,589.0,-7.1,2.3
2023-01-01 17:00:00+00:00,289.0,74.0,732.5,-5.6,2.65
2023-01-01 18:00:00+00:00,395.0,50.5,937.5,-4.1499999999999995,2.55
2023-01-01 19:00:00+00:00,431.0,59.0,936.0,-3.1,2.65
2023-01-01 20:00:00+00:00,415.0,53.0,946.0,-2.8000000000000003,2.75
2023-01-01 21:00:00+00:00,332.5,69.0,813.5,-3.15,2.4
2023-01-01 22:00:00+00:00,180.0,104.5,337.0,-4.3,1.9500000000000002
2023-01-01 23:00:00+00:00,50.5,34.5,177.0,-5.85,1.7500000000000002
2023-01-02 00:00:00+00:00,0.0,0.0,0.0,-6.95,1.85
2023-01-02 01:00:00+00:00,0.0,0.0,0.0,-7.5,2.2
2023-01-02 02:00:00+00:00,0.0,0.0,0.0,-8.05,2.5500000000000003
2023-01-02 03:00:00+00:00,0.0,0.0,0.0,-8.600000000000001,2.5500000000000003
2023-01-02 04:00:00+00:00,0.0,0.0,0.0,-9.25,2.45
2023-01-02 05:00:00+00:00,0.0,0.0,0.0,-9.9,2.25
2023-01-02 06:00:00+00:00,0.0,0.0,0.0,-10.4,2.05
2023-01-02 07:00:00+00:00,0.0,0.0,0.0,-10.9,1.8
2023-01-02 08:00:00+00:00,0.0,0.0,0.0,-11.4,1.6
2023-01-02 09:00:00+00:00,0.0,0.0,0.0,-11.950000000000001,1.6
2023-01-02 10:00:00+00:00,0.0,0.0,0.0,-12.4,1.6
2023-01-02 11:00:00+00:00,0.0,0.0,0.0,-12.75,1.6
2023-01-02 12:00:00+00:00,0.0,0.0,0.0,-13.05,1.5
2023-01-02 13:00:00+00:00,0.0,0.0,0.0,-13.149999999999999,1.5
2023-01-02 14:00:00+00:00,0.0,0.0,0.0,-12.8,1.4
2023-01-02 15:00:00+00:00,31.0,17.5,323.0,-11.650000000000002,1.2000000000000002
